N,total_s,last_clear_s,last_discovery_s,tail_s,tail_fraction,last_discovery_to_end_s,discovered_by_6000,cleared_by_6000,all_found_by_6000,all_cleared_by_6000,all_done_5000_6000,tail_measures,tail_no_signal,after_6000_measures,after_6000_no_signal,discovered_total,cleared_total,all_move_s,all_measure_s,all_switch_s,all_clear_s,tail_move_s,tail_measure_s,tail_switch_s,tail_clear_s,after_6000_s,after_6000_tail_s,cost_accounting_error,absent_channel_measures,after_6000_absent_channel_measures,after_6000_clear_successes,after_6000_clear_failures,after6000_discovery_count,seed,completion,error,original_total_s,replay_delta_s,distribution
10,9515.232438,6918.041422,1709.0,2597.191015999999,0.27295087460269135,7806.232437999999,10,9,True,False,False,80,80,113,112,10,10,6855.232437999999,2195.0,409.0,56.0,2125.191015999999,400.0,72.0,0.0,3515.232437999999,2597.191015999999,0.0,310,110,1,1,0,1245000769,True,,9515.232438,0.0,edge
11,8573.091861,1599.707735,359.0,6973.384126000001,0.8134036400242883,8214.091861,11,11,True,True,False,243,243,90,90,11,11,6688.091861000001,1550.0,280.0,55.0,5542.384126000001,1215.0,216.0,0.0,2573.091861000001,2573.091861000001,0.0,279,90,0,0,0,1245000770,True,,8573.091861,0.0,cluster
15,14345.671436,14345.671436,6769.831525,0.0,0.0,7575.839911000001,12,4,False,False,False,0,0,163,153,15,15,10316.671436,2525.0,466.0,1038.0,0,0,0,0,8345.671436,0.0,0.0,155,60,11,321,3,1245000771,True,,14345.671436,0.0,outward
10,9922.256036,9922.256036,5955.417288,0.0,0.0,3966.838748000001,10,6,True,False,False,0,0,130,125,10,10,7191.256036000001,2250.0,419.0,62.0,0,0,0,0,3922.2560360000007,0.0,0.0,310,112,4,2,0,1245000772,True,,9922.256036,0.0,area
15,10257.520952,8995.370533,6156.612701,1262.1504190000014,0.12304634081726235,4100.908251000001,14,8,False,False,False,20,20,79,74,15,15,7727.520952000001,2055.0,382.0,93.0,1145.1504190000014,100.0,17.0,0.0,4257.520952000001,1262.1504190000014,0.0,155,55,7,2,1,1245000773,True,,10257.520952,0.0,edge
12,9023.394496,9023.394496,1031.0,0.0,0.0,7992.394496000001,12,11,True,False,False,0,0,92,92,12,12,7050.394496000001,1595.0,288.0,90.0,0,0,0,0,3023.394496000001,0.0,0.0,248,80,1,10,0,1245000774,True,,9023.394496,0.0,cluster
11,9367.818183,8778.218375,3862.898647,589.599807999999,0.0629388611608581,5504.919535999999,11,9,True,False,False,18,18,110,106,11,11,6706.818182999999,2195.0,411.0,55.0,482.59980799999903,90.0,17.0,0.0,3367.8181829999994,589.599807999999,0.0,279,99,2,0,0,1245000775,True,,9367.818183,0.0,outward
13,9314.550176,7121.855566,1841.217849,2192.6946100000005,0.2354053141127231,7473.332327000001,13,12,True,False,False,56,56,88,87,13,13,7327.550176000001,1625.0,294.0,68.0,1864.6946100000005,280.0,48.0,0.0,3314.5501760000006,2192.6946100000005,0.0,217,84,1,0,0,1245000776,True,,9314.550176,0.0,area
11,11981.402319,11981.402319,8748.76616,0.0,0.0,3232.6361590000015,9,3,False,False,False,0,0,175,166,11,11,8473.402319,2650.0,497.0,361.0,0,0,0,0,5981.402319000001,0.0,0.0,279,108,8,101,2,1245000777,True,,11981.402319,0.0,edge
10,9081.937881,2188.676057,1533.328051,6893.261823999999,0.759007814667082,7548.609829999999,10,10,True,True,False,250,250,110,110,10,10,6943.937881,1765.0,323.0,50.0,5418.261823999999,1250.0,225.0,0.0,3081.937881,3081.937881,0.0,310,110,0,0,0,1245000778,True,,9081.937881,0.0,cluster
15,9142.141679,7701.679884,6144.864027,1440.4617950000002,0.15756283872834959,2997.2776520000007,14,11,False,False,False,25,25,67,61,15,15,6806.141679,1910.0,351.0,75.0,1295.4617950000002,125.0,20.0,0.0,3142.1416790000003,1440.4617950000002,0.0,155,55,4,0,1,1245000779,True,,9142.141679,0.0,outward
16,8044.311769,8044.311769,5337.256976,0.0,0.0,2707.0547930000002,16,11,True,False,False,0,0,4,0,16,16,6240.311769,1260.0,233.0,311.0,0,0,0,0,2044.311769,0.0,0.0,59,0,5,57,0,1245000780,True,,8044.311769,0.0,area
16,6993.698998,6993.698998,4568.695459,0.0,0.0,2425.0035390000003,16,13,True,False,False,0,0,0,0,16,16,5162.698998,1240.0,229.0,362.0,0,0,0,0,993.6989979999998,0.0,0.0,60,0,3,6,0,1245000781,True,,6993.698998,0.0,edge
10,9365.97866,9365.97866,1625.0,0.0,0.0,7740.978660000001,10,9,True,False,False,0,0,124,123,10,10,7027.978660000001,1930.0,355.0,53.0,0,0,0,0,3365.9786600000007,0.0,0.0,310,112,1,0,0,1245000782,True,,9365.97866,0.0,cluster
11,9538.386744,7050.116977,5781.525298,2488.269767,0.2608690372683006,3756.861446,11,8,True,False,False,72,72,111,108,11,11,6850.386743999999,2220.0,413.0,55.0,2064.269767,360.0,64.0,0.0,3538.3867439999995,2488.269767,0.0,279,108,3,0,0,1245000783,True,,9538.386744,0.0,outward
10,9998.686067,9998.686067,1413.015156,0.0,0.0,8585.670911000001,10,8,True,False,False,0,0,110,110,10,10,7519.686067000001,2050.0,379.0,50.0,0,0,0,0,3998.6860670000005,0.0,0.0,310,110,2,0,0,1245000784,True,,9998.686067,0.0,area
12,9921.420725,8972.248779,7371.934963,949.1719460000004,0.09566895430694483,2549.4857620000002,11,7,False,False,False,24,24,127,120,12,12,7250.420725,2195.0,410.0,66.0,808.1719460000004,120.0,21.0,0.0,3921.420725,949.1719460000004,0.0,248,104,5,0,1,1245000785,True,,9921.420725,0.0,edge
10,10501.150956,10501.150956,690.191869,0.0,0.0,9810.959087,10,9,True,False,False,0,0,113,113,10,10,7870.1509559999995,1840.0,336.0,455.0,0,0,0,0,4501.1509559999995,0.0,0.0,310,100,1,134,0,1245000786,True,,10501.150956,0.0,cluster
13,10573.432389,10357.331422,8302.028265,216.1009670000003,0.020438109314891872,2271.404123999999,11,6,False,False,False,7,7,131,117,13,13,7646.432389,2405.0,451.0,71.0,175.1009670000003,35.0,6.0,0.0,4573.432389,216.1009670000003,0.0,217,87,7,2,2,1245000787,True,,10573.432389,0.0,outward
10,9656.153317,4847.705808,2880.302469,4808.4475090000005,0.4979671874652775,6775.850848,10,10,True,True,False,160,160,120,120,10,10,7270.153317,1970.0,363.0,53.0,3864.4475090000005,800.0,144.0,0.0,3656.1533170000002,3656.1533170000002,0.0,310,120,0,0,0,1245000788,True,,9656.153317,0.0,area
13,11440.644904,11440.644904,5465.120355,0.0,0.0,5975.524549000001,13,4,True,False,False,0,0,168,160,13,13,8326.644904,2535.0,475.0,104.0,0,0,0,0,5440.644904000001,0.0,0.0,217,88,9,13,0,1245000789,True,,11440.644904,0.0,edge
11,8754.087048,1869.55613,1138.475645,6884.5309179999995,0.7864361960591736,7615.611402999999,11,11,True,True,False,234,234,90,90,11,11,6829.087047999999,1580.0,287.0,58.0,5505.5309179999995,1170.0,209.0,0.0,2754.0870479999994,2754.0870479999994,0.0,279,90,0,0,0,1245000790,True,,8754.087048,0.0,cluster
10,11792.221147,11792.221147,8509.499109,0.0,0.0,3282.722038,6,4,False,False,False,0,0,180,170,10,10,8355.221147,2615.0,490.0,332.0,0,0,0,0,5792.221147,0.0,0.0,310,130,6,94,4,1245000791,True,,11792.221147,0.0,outward
11,9829.010079,9829.010079,2887.415096,0.0,0.0,6941.594982999999,11,7,True,False,False,0,0,105,105,11,11,7542.010079,1885.0,347.0,55.0,0,0,0,0,3829.0100789999997,0.0,0.0,279,99,4,0,0,1245000792,True,,9829.010079,0.0,area
15,9322.912303,8168.476749,2629.400448,1154.4355539999988,0.12382778218652937,6693.511854999999,15,11,True,False,False,20,20,77,71,15,15,6916.912302999999,1965.0,363.0,78.0,1038.4355539999988,100.0,16.0,0.0,3322.912302999999,1154.4355539999988,0.0,155,60,4,0,0,1245000793,True,,9322.912303,0.0,edge
15,8286.997208,2230.385977,755.0,6056.611231000001,0.7308571583870141,7531.997208000001,15,15,True,True,False,130,130,50,50,15,15,6953.997208000001,1070.0,182.0,81.0,5301.611231000001,650.0,105.0,0.0,2286.9972080000007,2286.9972080000007,0.0,155,50,0,0,0,1245000794,True,,8286.997208,0.0,cluster
10,13007.765229,13007.765229,9534.497613,0.0,0.0,3473.267616000001,7,4,False,False,False,0,0,187,181,10,10,9047.765229,2640.0,493.0,827.0,0,0,0,0,7007.7652290000005,0.0,0.0,310,130,6,259,3,1245000795,True,,13007.765229,0.0,outward
11,9869.524436,9308.461224,7757.106818,561.0632119999991,0.05684804932986126,2112.4176179999995,9,7,False,False,False,18,18,128,124,11,11,7229.524436,2180.0,405.0,55.0,455.0632119999991,90.0,16.0,0.0,3869.5244359999997,561.0632119999991,0.0,279,108,4,0,2,1245000796,True,,9869.524436,0.0,area
14,9507.947215,9507.947215,4475.033478,0.0,0.0,5032.913737,14,11,True,False,False,0,0,86,81,14,14,7069.947215,1995.0,370.0,73.0,0,0,0,0,3507.947215,0.0,0.0,186,66,3,1,0,1245000797,True,,9507.947215,0.0,edge
16,3741.14155,3741.14155,1969.689438,0.0,0.0,1771.4521119999997,16,16,True,True,False,0,0,0,0,16,16,2730.14155,490.0,87.0,434.0,0,0,0,0,0.0,0.0,0.0,24,0,0,0,0,1245000798,True,,3741.14155,0.0,cluster
15,10164.454286,8484.958819,7692.302796,1679.4954670000006,0.16523223182903699,2472.15149,14,9,False,False,False,20,20,95,91,15,15,7603.454286,2095.0,388.0,78.0,1563.4954670000006,100.0,16.0,0.0,4164.454286,1679.4954670000006,0.0,155,60,6,0,1,1245000799,True,,10164.454286,0.0,outward
14,9931.213436,9931.213436,4801.474799,0.0,0.0,5129.738637,14,13,True,False,False,0,0,84,83,14,14,7907.213436,1650.0,301.0,73.0,0,0,0,0,3931.213436,0.0,0.0,186,72,1,0,0,1245000800,True,,9931.213436,0.0,area
15,9610.097466,9610.097466,5213.089119,0.0,0.0,4397.008346999999,15,10,True,False,False,0,0,95,91,15,15,7134.097465999999,2010.0,373.0,93.0,0,0,0,0,3610.0974659999993,0.0,0.0,155,60,5,0,0,1245000801,True,,9610.097466,0.0,edge
11,8589.44776,6055.738926,419.0,2533.708833999999,0.29497924718736507,8170.447759999999,11,10,True,False,False,90,90,90,90,11,11,6502.447759999999,1715.0,314.0,58.0,2002.7088339999991,450.0,81.0,0.0,2589.447759999999,2533.708833999999,0.0,279,90,1,1,0,1245000802,True,,8589.44776,0.0,cluster
14,11492.151555,11492.151555,8431.736984,0.0,0.0,3060.414571000001,10,5,False,False,False,0,0,126,114,14,14,8460.151555,2345.0,437.0,250.0,0,0,0,0,5492.151555,0.0,0.0,186,67,9,59,4,1245000803,True,,11492.151555,0.0,outward
13,9443.52793,8688.279182,5014.394232,755.248748,0.07997527551125694,4429.133698000001,13,11,True,False,False,14,14,84,84,13,13,7456.52793,1620.0,293.0,74.0,673.248748,70.0,12.0,0.0,3443.52793,755.248748,0.0,217,84,2,0,0,1245000804,True,,9443.52793,0.0,area
12,9209.766421,5958.584461,3874.673999,3251.18196,0.3530145946575467,5335.092422,12,12,True,True,False,88,88,88,88,12,12,6657.766421,2080.0,385.0,87.0,2734.18196,440.0,77.0,0.0,3209.7664210000003,3209.7664210000003,0.0,248,88,0,0,0,1245000805,True,,9209.766421,0.0,edge
14,9173.15688,5889.5313,5149.527792,3283.625580000001,0.35796025544479737,4023.6290880000006,14,14,True,True,False,72,72,72,72,14,14,7411.1568800000005,1435.0,257.0,70.0,2863.625580000001,360.0,60.0,0.0,3173.1568800000005,3173.1568800000005,0.0,186,72,0,0,0,1245000806,True,,9173.15688,0.0,cluster
15,11461.205768,11461.205768,8117.43939,0.0,0.0,3343.7663780000003,10,4,False,False,False,0,0,141,125,15,15,8246.205768,2370.0,443.0,402.0,0,0,0,0,5461.205768,0.0,0.0,155,64,11,109,5,1245000807,True,,11461.205768,0.0,outward
13,9451.335983,7940.473234,7480.991352,1510.8627490000008,0.1598570563693398,1970.3446310000008,11,9,False,False,False,35,35,100,95,13,13,7256.335983000001,1795.0,329.0,71.0,1305.8627490000008,175.0,30.0,0.0,3451.335983000001,1510.8627490000008,0.0,217,84,4,1,2,1245000808,True,,9451.335983,0.0,area
10,10108.079463,10108.079463,9077.125408,0.0,0.0,1030.9540550000002,7,2,False,False,False,0,0,163,151,10,10,6976.079463,2585.0,488.0,59.0,0,0,0,0,4108.079463,0.0,0.0,310,120,8,3,3,1245000809,True,,10108.079463,0.0,edge
14,10834.833733,10834.833733,731.0,0.0,0.0,10103.833733,14,12,True,False,False,0,0,94,94,14,14,8557.833733,1645.0,295.0,337.0,0,0,0,0,4834.8337329999995,0.0,0.0,186,66,2,89,0,1245000810,True,,10834.833733,0.0,cluster
16,9630.734282,9630.734282,8513.570655,0.0,0.0,1117.163627,12,6,False,False,False,0,0,99,85,16,16,7045.734281999999,2055.0,381.0,149.0,0,0,0,0,3630.7342819999994,0.0,0.0,112,40,10,23,4,1245000811,True,,9630.734282,0.0,outward
16,7284.675358,7284.675358,5085.527865,0.0,0.0,2199.1474930000004,16,12,True,False,False,0,0,0,0,16,16,5665.675358,1185.0,219.0,215.0,0,0,0,0,1284.6753580000004,0.0,0.0,59,0,4,1,0,1245000812,True,,7284.675358,0.0,area
12,10486.799902,10486.799902,5899.099687,0.0,0.0,4587.700215000001,12,5,True,False,False,0,0,121,117,12,12,7657.799902000001,2265.0,420.0,144.0,0,0,0,0,4486.799902000001,0.0,0.0,248,88,7,28,0,1245000813,True,,10486.799902,0.0,edge
14,9000.902374,9000.902374,1523.0,0.0,0.0,7477.902373999999,14,13,True,False,False,0,0,66,66,14,14,7300.902373999999,1290.0,226.0,184.0,0,0,0,0,3000.9023739999993,0.0,0.0,186,66,1,38,0,1245000814,True,,9000.902374,0.0,cluster
16,9402.067502,9402.067502,6022.365207,0.0,0.0,3379.702295,15,9,False,False,False,0,0,25,22,16,16,6779.067502,1635.0,299.0,689.0,0,0,0,0,3402.067502,0.0,0.0,83,2,7,203,1,1245000815,True,,9402.067502,0.0,outward
13,11355.242499,11355.242499,2028.040373,0.0,0.0,9327.202126,13,11,True,False,False,0,0,121,120,13,13,8880.242499,1915.0,351.0,209.0,0,0,0,0,5355.242499,0.0,0.0,217,105,2,48,0,1245000816,True,,11355.242499,0.0,area
16,6081.633542,6081.633542,4692.395648,0.0,0.0,1389.2378939999999,16,15,True,False,False,0,0,0,0,16,16,4553.633542,1215.0,227.0,86.0,0,0,0,0,81.63354199999958,0.0,0.0,63,0,1,0,0,1245000817,True,,6081.633542,0.0,edge
12,9426.724023,9426.724023,670.049705,0.0,0.0,8756.674318000001,12,8,True,False,False,0,0,108,107,12,12,7153.724023000001,1870.0,343.0,60.0,0,0,0,0,3426.7240230000007,0.0,0.0,248,79,4,0,0,1245000818,True,,9426.724023,0.0,cluster
14,9888.557561,9888.557561,5818.232416,0.0,0.0,4070.325145,14,8,True,False,False,0,0,70,68,14,14,7543.557561,1770.0,322.0,253.0,0,0,0,0,3888.5575609999996,0.0,0.0,186,60,6,61,0,1245000819,True,,9888.557561,0.0,outward
12,9036.500727,7188.798761,6574.087831,1847.7019660000005,0.20447095859565248,2462.4128960000007,10,9,False,False,False,56,56,103,98,12,12,6823.500727000001,1810.0,334.0,69.0,1518.7019660000005,280.0,49.0,0.0,3036.5007270000006,1847.7019660000005,0.0,248,96,3,1,2,1245000820,True,,9036.500727,0.0,area
10,9748.519061,9748.519061,8623.999964,0.0,0.0,1124.5190970000003,7,5,False,False,False,0,0,158,150,10,10,6855.519061000001,2390.0,447.0,56.0,0,0,0,0,3748.519061000001,0.0,0.0,310,130,5,0,3,1245000821,True,,9748.519061,0.0,edge
13,9796.601535,9796.601535,1919.0,0.0,0.0,7877.601535,13,10,True,False,False,0,0,119,119,13,13,7397.601535,1885.0,341.0,173.0,0,0,0,0,3796.601535,0.0,0.0,217,77,3,36,0,1245000822,True,,9796.601535,0.0,cluster
16,6857.090823,6857.090823,5691.370348,0.0,0.0,1165.7204749999992,16,13,True,False,False,0,0,0,0,16,16,4895.090823,1525.0,285.0,152.0,0,0,0,0,857.0908229999995,0.0,0.0,75,0,3,16,0,1245000823,True,,6857.090823,0.0,outward
16,5644.359733,5644.359733,4582.462435,0.0,0.0,1061.8972979999999,16,16,True,True,True,0,0,0,0,16,16,4352.359733,1020.0,189.0,83.0,0,0,0,0,0.0,0.0,0.0,56,0,0,0,0,1245000824,True,,5644.359733,0.0,area
13,9786.235665,9786.235665,4054.491629,0.0,0.0,5731.744036,13,11,True,False,False,0,0,93,92,13,13,7413.235665,1905.0,349.0,119.0,0,0,0,0,3786.235665,0.0,0.0,217,70,2,18,0,1245000825,True,,9786.235665,0.0,edge
12,8677.272782,8677.272782,119.0,0.0,0.0,8558.272782,12,11,True,False,False,0,0,76,76,12,12,6891.272782,1460.0,263.0,63.0,0,0,0,0,2677.272782,0.0,0.0,248,76,1,0,0,1245000826,True,,8677.272782,0.0,cluster
16,10893.843572,10893.843572,5528.342831,0.0,0.0,5365.500741,16,11,True,False,False,0,0,26,26,16,16,7945.843572,1660.0,299.0,989.0,0,0,0,0,4893.843572,0.0,0.0,75,0,5,303,0,1245000827,True,,10893.843572,0.0,outward
13,9565.287074,8881.320804,6456.555688,683.966269999999,0.07150504367601576,3108.7313859999995,11,8,False,False,False,21,21,82,78,13,13,7406.287074,1770.0,324.0,65.0,560.966269999999,105.0,18.0,0.0,3565.287074,683.966269999999,0.0,217,77,5,0,2,1245000828,True,,9565.287074,0.0,area
12,9710.820657,6188.709752,3556.710075,3522.1109050000005,0.3626996141115121,6154.110582,12,11,True,False,False,88,88,88,88,12,12,7188.820657,2070.0,383.0,69.0,3005.1109050000005,440.0,77.0,0.0,3710.820657,3522.1109050000005,0.0,248,88,1,1,0,1245000829,True,,9710.820657,0.0,edge
11,9393.268509,9393.268509,683.0,0.0,0.0,8710.268509,11,10,True,False,False,0,0,103,103,11,11,7126.2685089999995,1735.0,315.0,217.0,0,0,0,0,3393.2685089999995,0.0,0.0,279,90,1,52,0,1245000830,True,,9393.268509,0.0,cluster
11,9734.417946,9676.499775,2653.397325,57.91817099999935,0.005949834013835279,7081.020621,11,8,True,False,False,9,9,134,130,11,11,7069.417946,2200.0,410.0,55.0,4.918170999999347,45.0,8.0,0.0,3734.4179459999996,57.91817099999935,0.0,279,117,3,0,0,1245000831,True,,9734.417946,0.0,outward
13,9056.384137,8895.58216,4140.836482,160.80197699999917,0.017755648895571928,4915.547654999999,13,12,True,False,False,7,7,87,87,13,13,6904.384136999999,1765.0,322.0,65.0,119.80197699999917,35.0,6.0,0.0,3056.384136999999,160.80197699999917,0.0,217,77,1,0,0,1245000832,True,,9056.384137,0.0,area
14,9140.50138,8517.532804,4130.766091,622.9685759999993,0.06815474885908275,5009.735288999999,14,12,True,False,False,18,18,67,66,14,14,6946.50138,1790.0,328.0,76.0,517.9685759999993,90.0,15.0,0.0,3140.5013799999997,622.9685759999993,0.0,186,66,2,0,0,1245000833,True,,9140.50138,0.0,edge
15,9867.682939,9867.682939,983.0,0.0,0.0,8884.682939,15,11,True,False,False,0,0,93,92,15,15,7687.682939,1590.0,281.0,309.0,0,0,0,0,3867.6829390000003,0.0,0.0,155,50,4,77,0,1245000834,True,,9867.682939,0.0,cluster
14,9798.290405,9798.290405,9168.952585,0.0,0.0,629.3378199999988,12,11,False,False,False,0,0,100,95,14,14,7316.290405,2035.0,377.0,70.0,0,0,0,0,3798.2904049999997,0.0,0.0,186,72,3,0,2,1245000835,True,,9798.290405,0.0,outward
16,8471.215099,8471.215099,8209.224058,0.0,0.0,261.9910409999993,15,12,False,False,False,0,0,42,40,16,16,6735.215098999999,1390.0,254.0,92.0,0,0,0,0,2471.215098999999,0.0,0.0,104,28,4,1,1,1245000836,True,,8471.215099,0.0,area
16,11274.888944,11274.888944,5904.385766,0.0,0.0,5370.503178,16,9,True,False,False,0,0,40,39,16,16,8250.888944,1890.0,343.0,791.0,0,0,0,0,5274.888944,0.0,0.0,76,0,7,236,0,1245000837,True,,11274.888944,0.0,edge
15,7789.588501,1662.049227,431.0,6127.539274000001,0.7866319604961634,7358.588501,15,15,True,True,False,135,135,40,40,15,15,6558.588501,985.0,168.0,78.0,5343.539274000001,675.0,109.0,0.0,1789.5885010000002,1789.5885010000002,0.0,155,40,0,0,0,1245000838,True,,7789.588501,0.0,cluster
12,9866.601897,8607.694455,6934.975076,1258.9074419999997,0.12759280805509932,2931.6268210000007,11,7,False,False,False,40,40,137,129,12,12,7157.6018970000005,2230.0,416.0,63.0,1023.9074419999997,200.0,35.0,0.0,3866.6018970000005,1258.9074419999997,0.0,248,104,5,0,1,1245000839,True,,9866.601897,0.0,outward
10,10039.388004,10039.388004,7351.551519,0.0,0.0,2687.8364850000007,9,4,False,False,False,0,0,139,135,10,10,7187.388004,2360.0,442.0,50.0,0,0,0,0,4039.3880040000004,0.0,0.0,310,110,6,0,1,1245000840,True,,10039.388004,0.0,area
13,9942.357198,9942.357198,4932.279978,0.0,0.0,5010.07722,13,10,True,False,False,0,0,85,83,13,13,7370.357198,2105.0,390.0,77.0,0,0,0,0,3942.3571979999997,0.0,0.0,217,77,3,3,0,1245000841,True,,9942.357198,0.0,edge
14,8915.018287,4553.704205,781.540306,4361.314082000001,0.4892097740685207,8133.477981000001,14,14,True,True,False,90,90,66,66,14,14,7436.018287000001,1195.0,208.0,76.0,3836.314082000001,450.0,75.0,0.0,2915.018287000001,2915.018287000001,0.0,186,66,0,0,0,1245000842,True,,8915.018287,0.0,cluster
13,13210.998061,13210.998061,4995.962671,0.0,0.0,8215.035390000001,13,10,True,False,False,0,0,102,101,13,13,9629.998061,2095.0,386.0,1100.0,0,0,0,0,7210.998061,0.0,0.0,217,77,3,345,0,1245000843,True,,13210.998061,0.0,outward
10,9641.188182,4589.058642,3088.840944,5052.12954,0.5240152400958499,6552.347238,10,10,True,True,False,170,170,117,117,10,10,7209.188182,2010.0,372.0,50.0,4049.12954,850.0,153.0,0.0,3641.188182,3641.188182,0.0,310,117,0,0,0,1245000844,True,,9641.188182,0.0,area
10,9649.937873,9279.952349,2946.330617,369.98552400000153,0.03834071564700959,6703.607256000001,10,5,True,False,False,10,10,154,147,10,10,6702.937873000001,2420.0,456.0,71.0,310.98552400000153,50.0,9.0,0.0,3649.9378730000008,369.98552400000153,0.0,310,120,5,4,0,1245000845,True,,9649.937873,0.0,edge
12,11643.784357,11643.784357,719.0,0.0,0.0,10924.784357,12,6,True,False,False,0,0,148,147,12,12,8647.784357,2250.0,413.0,333.0,0,0,0,0,5643.784357,0.0,0.0,248,88,6,90,0,1245000846,True,,11643.784357,0.0,cluster
10,9342.746315,7786.99838,7451.099566,1555.7479350000003,0.16651933837721894,1891.6467490000005,9,6,False,False,False,60,60,135,128,10,10,6398.746315,2435.0,456.0,53.0,1201.7479350000003,300.0,54.0,0.0,3342.7463150000003,1555.7479350000003,0.0,310,120,4,0,1,1245000847,True,,9342.746315,0.0,outward
12,10986.081358,10986.081358,2330.646657,0.0,0.0,8655.434701,12,8,True,False,False,0,0,130,125,12,12,8324.081358,2190.0,409.0,63.0,0,0,0,0,4986.081357999999,0.0,0.0,248,97,4,0,0,1245000848,True,,10986.081358,0.0,area
11,11754.332197,11754.332197,8073.21274,0.0,0.0,3681.119457,10,5,False,False,False,0,0,170,163,11,11,8343.332197,2505.0,470.0,436.0,0,0,0,0,5754.332197,0.0,0.0,279,117,6,127,1,1245000849,True,,11754.332197,0.0,edge
12,8317.068301,1747.031678,401.0,6570.036622999999,0.7899462148471299,7916.068300999999,12,12,True,True,False,216,216,80,80,12,12,6574.068300999999,1420.0,254.0,69.0,5301.036622999999,1080.0,189.0,0.0,2317.0683009999993,2317.0683009999993,0.0,248,80,0,0,0,1245000850,True,,8317.068301,0.0,cluster
14,9948.560595,9424.020921,8897.219617,524.5396740000015,0.05272518260215728,1051.3409780000002,9,8,False,False,False,18,18,118,107,14,14,7326.560595000001,2150.0,399.0,73.0,419.53967400000147,90.0,15.0,0.0,3948.560595000001,524.5396740000015,0.0,186,84,6,1,5,1245000851,True,,9948.560595,0.0,outward
15,11099.111054,11099.111054,4996.868467,0.0,0.0,6102.242587000001,15,13,True,False,False,0,0,78,77,15,15,8695.111054,1800.0,328.0,276.0,0,0,0,0,5099.111054000001,0.0,0.0,155,60,2,67,0,1245000852,True,,11099.111054,0.0,area
13,9314.118978,7773.489503,2639.0,1540.6294750000006,0.16540796597498655,6675.118978,13,7,True,False,False,49,49,106,98,13,13,6786.118978,2075.0,385.0,68.0,1252.6294750000006,245.0,43.0,0.0,3314.1189780000004,1540.6294750000006,0.0,217,91,6,1,0,1245000853,True,,9314.118978,0.0,edge
13,9767.44133,9767.44133,1001.0,0.0,0.0,8766.44133,13,12,True,False,False,0,0,91,91,13,13,7608.44133,1570.0,281.0,308.0,0,0,0,0,3767.4413299999997,0.0,0.0,217,77,1,81,0,1245000854,True,,9767.44133,0.0,cluster
11,12673.913978,12673.913978,9335.128459,0.0,0.0,3338.785519000001,10,3,False,False,False,0,0,179,174,11,11,8949.913978,2670.0,501.0,553.0,0,0,0,0,6673.9139780000005,0.0,0.0,279,108,8,166,1,1245000855,True,,12673.913978,0.0,outward
14,10260.000722,6868.730693,4450.438587,3391.2700290000002,0.33053311796833224,5809.562135000001,14,10,True,False,False,60,60,84,81,14,14,8097.000722000001,1770.0,323.0,70.0,3041.2700290000002,300.0,50.0,0.0,4260.000722000001,3391.2700290000002,0.0,186,78,4,0,0,1245000856,True,,10260.000722,0.0,area
13,9975.274541,9404.448574,8430.045991,570.8259670000007,0.057224085878921235,1545.2285499999998,6,3,False,False,False,21,21,153,135,13,13,6778.274541000001,2615.0,493.0,89.0,447.8259670000007,105.0,18.0,0.0,3975.2745410000007,570.8259670000007,0.0,217,84,10,8,7,1245000857,True,,9975.274541,0.0,edge
16,8124.08742,8124.08742,1037.0,0.0,0.0,7087.08742,16,12,True,False,False,0,0,0,0,16,16,5675.08742,775.0,133.0,1541.0,0,0,0,0,2124.08742,0.0,0.0,14,0,4,237,0,1245000858,True,,8124.08742,0.0,cluster
15,9630.454127,9397.670751,8964.62901,232.78337600000123,0.024171588684210467,665.8251170000003,11,6,False,False,False,5,5,104,91,15,15,7059.454127000001,2100.0,390.0,81.0,202.78337600000123,25.0,5.0,0.0,3630.454127000001,232.78337600000123,0.0,155,65,9,2,4,1245000859,True,,9630.454127,0.0,outward
13,9597.526027,7202.149635,5731.537683,2395.376392,0.2495826930045584,3865.9883440000003,13,11,True,False,False,63,63,94,92,13,13,7439.526027,1760.0,321.0,77.0,2026.3763920000001,315.0,54.0,0.0,3597.526027,2395.376392,0.0,217,91,2,0,0,1245000860,True,,9597.526027,0.0,area
12,9260.613735,7407.400683,2003.0,1853.213052000001,0.2001177357172214,7257.613735000001,12,10,True,False,False,48,48,80,80,12,12,6922.613735000001,1920.0,355.0,63.0,1571.213052000001,240.0,42.0,0.0,3260.613735000001,1853.213052000001,0.0,248,80,2,0,0,1245000861,True,,9260.613735,0.0,edge
14,9284.103209,7955.283477,3012.8489,1328.8197320000008,0.14312849632173888,6271.254309000001,14,12,True,False,False,24,24,80,79,14,14,7463.103209000001,1470.0,263.0,88.0,1188.8197320000008,120.0,20.0,0.0,3284.103209000001,1328.8197320000008,0.0,186,66,2,0,0,1245000862,True,,9284.103209,0.0,cluster
15,12271.296602,12271.296602,4994.661869,0.0,0.0,7276.634733000001,15,10,True,False,False,0,0,81,79,15,15,9158.296602,1920.0,350.0,843.0,0,0,0,0,6271.296602,0.0,0.0,155,55,5,256,0,1245000863,True,,12271.296602,0.0,outward
