model,seed,N,C,completion,virtual_time_s,time_per_clear_s,macro_steps,error
baseline,419000745,11,11,True,4051.178034,368.2889121818182,32,
baseline,419000746,14,14,True,2362.409898,168.74356414285714,32,
baseline,419000747,16,16,True,3778.610013,236.1631258125,45,
baseline,419000748,15,15,True,3622.191537,241.4794358,33,
baseline,419000749,12,12,True,3293.622024,274.468502,41,
baseline,419000750,12,12,True,2622.64027,218.5533558333333,23,
baseline,419000751,16,16,True,4946.764417,309.1727760625,41,
baseline,419000752,12,12,True,2618.623804,218.21865033333333,21,
baseline,419000753,16,16,True,3675.38976,229.71186,40,
baseline,419000754,12,12,True,3016.733537,251.39446141666667,28,
baseline,419000755,12,12,True,3353.65278,279.471065,34,
baseline,419000756,16,16,True,3520.68888,220.043055,32,
baseline,419000757,13,13,True,3846.446583,295.8805063846154,36,
baseline,419000758,16,16,True,1470.825448,91.9265905,21,
baseline,419000759,15,15,True,3703.798744,246.9199162666667,42,
baseline,419000760,14,14,True,3670.427226,262.17337328571426,33,
baseline,419000761,13,13,True,3386.215531,260.4781177692308,40,
baseline,419000762,13,13,True,2449.482029,188.4216945384615,26,
baseline,419000763,14,14,True,4150.853106,296.48950757142853,35,
baseline,419000764,13,13,True,2967.441361,228.26472007692308,26,
baseline,419000765,14,14,True,4172.439188,298.03137057142857,37,
baseline,419000766,12,12,True,3274.672886,272.8894071666667,30,
baseline,419000767,11,11,True,3501.843121,318.3493746363636,28,
baseline,419000768,12,12,True,3174.01375,264.50114583333334,27,
baseline,419000769,11,11,True,3521.652837,320.1502579090909,32,
baseline,419000770,11,11,True,2460.012755,223.6375231818182,21,
baseline,419000771,11,11,True,3837.258598,348.8416907272727,32,
baseline,419000772,10,10,True,4130.976123,413.09761230000004,24,
baseline,419000773,10,10,True,3424.921503,342.4921503,32,
baseline,419000774,15,15,True,2449.935305,163.32902033333332,24,
baseline,419000775,13,13,True,3911.54871,300.8883623076923,35,
baseline,419000776,16,16,True,3334.927038,208.432939875,32,
baseline,419000777,10,10,True,3307.939582,330.7939582,29,
baseline,419000778,14,14,True,2844.577739,203.1841242142857,27,
baseline,419000779,13,13,True,3581.345546,275.4881189230769,34,
baseline,419000780,15,15,True,3735.826339,249.05508926666667,29,
baseline,419000781,10,10,True,3957.631724,395.7631724,28,
baseline,419000782,10,10,True,2570.355988,257.0355988,19,
baseline,419000783,14,14,True,3887.226203,277.6590145,38,
baseline,419000784,13,13,True,3978.932237,306.07171053846156,31,
baseline,419000785,11,11,True,3533.999047,321.27264063636363,33,
baseline,419000786,14,14,True,2536.485917,181.1775655,24,
baseline,419000787,13,13,True,4056.548922,312.04222476923076,37,
baseline,419000788,16,16,True,4058.393428,253.64958925,31,
baseline,419000789,12,12,True,3309.380168,275.78168066666666,34,
baseline,419000790,16,16,True,2707.318812,169.20742575,32,
baseline,419000791,11,11,True,3026.601101,275.14555463636367,34,
baseline,419000792,13,13,True,3677.697664,282.89982030769227,29,
baseline,419000793,15,15,True,4234.552231,282.3034820666666,39,
baseline,419000794,16,16,True,1236.140076,77.25875475,28,
baseline,419000795,15,15,True,3615.052147,241.00347646666665,43,
baseline,419000796,16,16,True,3844.250458,240.265653625,31,
baseline,419000797,14,14,True,3870.355035,276.4539310714286,38,
baseline,419000798,16,16,True,1630.917258,101.932328625,23,
baseline,419000799,13,13,True,3721.864671,286.29728238461536,37,
baseline,419000800,14,14,True,2934.158439,209.58274564285713,25,
baseline,419000801,13,13,True,3818.355147,293.7196266923077,34,
baseline,419000802,10,10,True,2608.942479,260.8942479,24,
baseline,419000803,14,14,True,3521.247637,251.51768835714284,38,
baseline,419000804,16,16,True,3497.388098,218.586756125,32,
baseline,419000805,14,14,True,4120.056668,294.289762,37,
baseline,419000806,15,15,True,2501.213222,166.7475481333333,26,
baseline,419000807,12,12,True,3856.259784,321.354982,33,
baseline,419000808,13,13,True,4505.551859,346.58091223076923,30,
baseline,419000809,15,15,True,3833.984866,255.59899106666666,42,
baseline,419000810,12,12,True,2336.106118,194.67550983333334,22,
baseline,419000811,12,12,True,3771.938483,314.32820691666666,34,
baseline,419000812,10,10,True,2759.116203,275.9116203,21,
baseline,419000813,15,15,True,3830.84232,255.389488,38,
baseline,419000814,14,14,True,3097.963436,221.28310257142857,27,
baseline,419000815,10,10,True,3247.809441,324.7809441,30,
baseline,419000816,10,10,True,3002.985286,300.2985286,20,
baseline,419000817,10,10,True,3617.067544,361.7067544,29,
baseline,419000818,12,12,True,2569.899051,214.15825425,22,
baseline,419000819,16,16,True,3948.399479,246.7749674375,44,
baseline,419000820,13,13,True,3324.613892,255.73953015384615,30,
baseline,419000821,11,11,True,3243.590293,294.87184481818184,31,
baseline,419000822,14,14,True,2663.46905,190.2477892857143,24,
baseline,419000823,15,15,True,3743.902185,249.593479,38,
baseline,419000824,13,13,True,3180.385651,244.64505007692307,25,
baseline,419000825,10,10,True,3358.772319,335.8772319,29,
baseline,419000826,13,13,True,2705.469235,208.11301807692308,27,
baseline,419000827,10,10,True,3503.613684,350.3613684,32,
baseline,419000828,16,16,True,3842.194575,240.1371609375,31,
baseline,419000829,16,16,True,4109.90812,256.8692575,41,
baseline,419000830,14,14,True,2406.723307,171.90880764285717,23,
baseline,419000831,12,12,True,3559.69376,296.64114666666666,33,
baseline,419000832,10,10,True,2921.036213,292.1036213,23,
baseline,419000833,15,15,True,3657.119524,243.80796826666668,41,
baseline,419000834,11,11,True,2461.026496,223.72968145454544,24,
baseline,419000835,16,16,True,4091.343568,255.708973,41,
baseline,419000836,16,16,True,3521.368738,220.085546125,38,
baseline,419000837,11,11,True,3586.388377,326.03530700000005,32,
baseline,419000838,15,15,True,2880.039685,192.00264566666667,28,
baseline,419000839,12,12,True,3156.472215,263.03935125,37,
baseline,419000840,12,12,True,3253.386341,271.1155284166667,28,
baseline,419000841,11,11,True,3752.222631,341.1111482727273,30,
baseline,419000842,16,16,True,1231.060674,76.941292125,25,
baseline,419000843,15,15,True,4110.815551,274.05437006666665,41,
baseline,419000844,14,14,True,4023.620563,287.40146878571426,32,
baseline,419000845,11,11,True,3397.414927,308.85590245454546,33,
baseline,419000846,15,15,True,2307.797525,153.85316833333334,24,
baseline,419000847,11,11,True,3752.447253,341.13156845454546,30,
baseline,419000848,14,14,True,3520.282194,251.44872814285714,27,
baseline,419000849,11,11,True,3752.620583,341.14732572727274,34,
baseline,419000850,11,11,True,2850.315559,259.1195962727273,25,
baseline,419000851,11,11,True,3326.531903,302.41199118181817,33,
baseline,419000852,15,15,True,3193.809368,212.92062453333335,27,
baseline,419000853,11,11,True,3844.957126,349.5415569090909,31,
baseline,419000854,12,12,True,2460.078033,205.00650274999998,25,
baseline,419000855,16,16,True,3439.507649,214.9692280625,40,
baseline,419000856,15,15,True,3817.898241,254.5265494,33,
baseline,419000857,10,10,True,3431.692084,343.1692084,30,
baseline,419000858,14,14,True,2774.515568,198.17968342857142,26,
baseline,419000859,16,16,True,4160.912124,260.05700775,40,
baseline,419000860,11,11,True,3173.194317,288.4722106363636,27,
baseline,419000861,15,15,True,3829.993302,255.33288679999998,39,
baseline,419000862,12,12,True,2573.69774,214.47481166666668,27,
baseline,419000863,14,14,True,3519.45953,251.38996642857143,36,
baseline,419000864,12,12,True,3704.228399,308.6856999166667,31,
baseline,419000865,16,16,True,4121.535085,257.5959428125,40,
baseline,419000866,12,12,True,2440.926682,203.41055683333332,20,
baseline,419000867,10,10,True,3841.480552,384.1480552,28,
baseline,419000868,11,11,True,3608.453488,328.0412261818182,26,
baseline,419000869,11,11,True,3476.29352,316.02668363636366,33,
baseline,419000870,12,12,True,2430.44643,202.5372025,23,
baseline,419000871,15,15,True,4436.515921,295.7677280666667,40,
baseline,419000872,10,10,True,3015.998628,301.5998628,23,
baseline,419000873,13,13,True,3878.611512,298.35473169230767,36,
baseline,419000874,14,14,True,3246.417114,231.8869367142857,33,
baseline,419000875,12,12,True,3288.911554,274.07596283333334,37,
baseline,419000876,10,10,True,2951.240959,295.12409590000004,21,
baseline,419000877,15,15,True,4110.243352,274.0162234666667,40,
baseline,419000878,15,15,True,2398.452923,159.89686153333332,26,
baseline,419000879,14,14,True,3648.433288,260.60237771428575,39,
baseline,419000880,11,11,True,3423.406611,311.2187828181818,28,
baseline,419000881,15,15,True,3622.781733,241.51878219999998,37,
baseline,419000882,16,16,True,1568.705193,98.0440745625,22,
baseline,419000883,16,16,True,4043.726982,252.732936375,43,
baseline,419000884,10,10,True,2832.33388,283.233388,20,
baseline,419000885,16,16,True,3995.320732,249.70754575,43,
baseline,419000886,11,11,True,2649.531016,240.866456,23,
baseline,419000887,13,13,True,3453.90857,265.6852746153846,39,
baseline,419000888,14,14,True,3368.017218,240.57265842857143,30,
baseline,419000889,10,10,True,3641.637621,364.1637621,28,
baseline,419000890,16,16,True,1212.538893,75.7836808125,24,
baseline,419000891,11,11,True,3721.067115,338.27882863636364,31,
baseline,419000892,10,10,True,3329.742067,332.9742067,22,
baseline,419000893,15,15,True,3748.551345,249.903423,44,
baseline,419000894,11,11,True,2415.197377,219.5633979090909,22,
baseline,419000895,12,12,True,3992.551893,332.71265775,33,
baseline,419000896,11,11,True,3047.766687,277.0696988181818,27,
baseline,419000897,15,15,True,3654.109537,243.60730246666665,42,
baseline,419000898,11,11,True,3081.528468,280.13895163636363,28,
baseline,419000899,14,14,True,3471.088402,247.93488585714286,42,
baseline,419000900,13,13,True,3461.132127,266.24093284615384,28,
baseline,419000901,15,15,True,4718.990512,314.5993674666667,39,
baseline,419000902,13,13,True,2528.510273,194.5007902307692,21,
baseline,419000903,14,14,True,3906.566673,279.04047664285713,37,
baseline,419000904,13,13,True,3814.550413,293.4269548461538,29,
baseline,419000905,13,13,True,3572.864843,274.83575715384615,37,
baseline,419000906,11,11,True,2608.596844,237.14516763636365,20,
baseline,419000907,15,15,True,4629.811544,308.6541029333333,39,
baseline,419000908,14,14,True,2837.031199,202.64508564285714,28,
baseline,419000909,10,10,True,3551.144589,355.1144589,30,
baseline,419000910,16,16,True,1479.912526,92.494532875,28,
baseline,419000911,13,13,True,3576.715832,275.13198707692305,37,
baseline,419000912,13,13,True,3334.042861,256.4648354615384,29,
baseline,419000913,15,15,True,3800.364041,253.35760273333332,40,
baseline,419000914,11,11,True,2668.762,242.6147272727273,20,
baseline,419000915,13,13,True,3757.458823,289.0352940769231,37,
baseline,419000916,15,15,True,3809.919172,253.99461146666667,33,
baseline,419000917,12,12,True,3520.88563,293.40713583333337,37,
baseline,419000918,16,16,True,1755.238586,109.702411625,24,
baseline,419000919,14,14,True,4137.706875,295.55049107142855,38,
baseline,419000920,16,16,True,3493.799759,218.3624849375,34,
baseline,419000921,16,16,True,3682.351928,230.1469955,43,
baseline,419000922,14,14,True,2390.502802,170.75020014285715,25,
baseline,419000923,12,12,True,3445.781508,287.148459,35,
baseline,419000924,14,14,True,3115.456386,222.53259899999998,29,
baseline,419000925,11,11,True,3905.497521,355.0452291818182,31,
baseline,419000926,14,14,True,2549.372189,182.0980135,29,
baseline,419000927,16,16,True,3782.22118,236.38882375,43,
baseline,419000928,13,13,True,3321.174549,255.4749653076923,28,
baseline,419000929,12,12,True,3544.54911,295.3790925,34,
baseline,419000930,16,16,True,2805.227087,175.3266929375,31,
baseline,419000931,16,16,True,4184.516546,261.532284125,40,
baseline,419000932,11,11,True,2944.243879,267.6585344545455,24,
baseline,419000933,16,16,True,3869.442464,241.840154,42,
baseline,419000934,14,14,True,2482.142109,177.29586492857143,25,
baseline,419000935,14,14,True,3540.070404,252.86217171428572,38,
baseline,419000936,15,15,True,3561.787908,237.4525272,34,
baseline,419000937,12,12,True,3846.992553,320.58271275,32,
baseline,419000938,15,15,True,2559.413322,170.62755479999998,25,
baseline,419000939,15,15,True,3770.420837,251.36138913333335,40,
baseline,419000940,15,15,True,4344.933728,289.66224853333335,33,
baseline,419000941,16,16,True,3773.46203,235.841376875,42,
baseline,419000942,14,14,True,2173.175653,155.22683235714285,23,
baseline,419000943,10,10,True,4070.855002,407.08550019999996,29,
baseline,419000944,13,13,True,3297.582839,253.6602183846154,24,
baseline,419000945,16,16,True,4254.689502,265.918093875,42,
baseline,419000946,13,13,True,2857.086988,219.77592215384615,25,
baseline,419000947,13,13,True,3390.597942,260.8152263076923,40,
baseline,419000948,11,11,True,2996.030545,272.3664131818182,21,
baseline,419000949,13,13,True,4139.673495,318.4364226923077,35,
baseline,419000950,11,11,True,2642.51789,240.2288990909091,22,
baseline,419000951,10,10,True,3300.664094,330.0664094,32,
baseline,419000952,10,10,True,3278.772532,327.8772532,23,
baseline,419000953,12,12,True,3490.118505,290.84320875,33,
baseline,419000954,15,15,True,2935.9882,195.73254666666665,29,
baseline,419000955,16,16,True,4189.648041,261.8530025625,43,
baseline,419000956,14,14,True,3602.851986,257.34657042857145,27,
baseline,419000957,10,10,True,3334.823417,333.4823417,29,
baseline,419000958,13,13,True,2812.615759,216.35505838461538,31,
baseline,419000959,14,14,True,3663.233337,261.65952407142856,43,
baseline,419000960,11,11,True,3006.278828,273.29807527272726,28,
baseline,419000961,12,12,True,4457.609565,371.46746375,32,
baseline,419000962,10,10,True,2359.762207,235.97622070000003,21,
baseline,419000963,16,16,True,4532.876088,283.3047555,44,
baseline,419000964,15,15,True,3478.319008,231.88793386666666,31,
baseline,419000965,12,12,True,3653.796847,304.48307058333336,34,
baseline,419000966,11,11,True,2669.071054,242.6428230909091,21,
baseline,419000967,15,15,True,4265.103398,284.34022653333335,38,
baseline,419000968,13,13,True,3457.000907,265.9231466923077,24,
baseline,419000969,11,11,True,3901.264507,354.66040972727274,33,
baseline,419000970,15,15,True,2940.598881,196.0399254,34,
baseline,419000971,13,13,True,3559.006266,273.76971276923075,34,
baseline,419000972,14,14,True,3221.157044,230.082646,29,
baseline,419000973,15,15,True,3672.293238,244.8195492,38,
baseline,419000974,11,11,True,2655.826197,241.43874518181818,22,
baseline,419000975,10,10,True,3393.658587,339.3658587,29,
baseline,419000976,12,12,True,3459.952372,288.32936433333333,29,
baseline,419000977,13,13,True,3371.06771,259.31290076923074,35,
baseline,419000978,13,13,True,2700.206565,207.7081973076923,26,
baseline,419000979,15,15,True,4186.813778,279.12091853333334,38,
baseline,419000980,11,11,True,3318.218984,301.6562712727273,21,
baseline,419000981,14,14,True,4038.499582,288.46425585714286,39,
baseline,419000982,12,12,True,2898.172438,241.51436983333335,31,
baseline,419000983,16,16,True,3530.054443,220.6284026875,42,
baseline,419000984,16,16,True,4059.229322,253.701832625,34,
baseline,419000985,15,15,True,3948.417503,263.22783353333335,39,
baseline,419000986,14,14,True,2805.721481,200.40867721428572,22,
baseline,419000987,13,13,True,3746.951145,288.22701115384615,35,
baseline,419000988,16,16,True,4270.639566,266.914972875,35,
baseline,419000989,10,10,True,3514.304177,351.4304177,30,
baseline,419000990,16,16,True,1921.298987,120.0811866875,22,
baseline,419000991,11,11,True,3568.496221,324.40874736363634,32,
baseline,419000992,12,12,True,3226.858195,268.9048495833333,24,
baseline,419000993,16,16,True,3834.285864,239.6428665,41,
baseline,419000994,10,10,True,2963.499728,296.3499728,21,
baseline,419000995,11,11,True,3440.331358,312.7573961818182,28,
baseline,419000996,10,10,True,2943.264429,294.32644289999996,24,
baseline,419000997,11,11,True,3575.939232,325.08538472727275,30,
baseline,419000998,10,10,True,2217.974796,221.7974796,18,
baseline,419000999,16,16,True,3764.679622,235.292476375,39,
baseline,419001000,13,13,True,3739.141818,287.6262936923077,29,
baseline,419001001,13,13,True,3164.779487,243.4445759230769,41,
baseline,419001002,12,12,True,2498.737092,208.22809099999998,26,
baseline,419001003,14,14,True,4267.599641,304.82854578571425,39,
baseline,419001004,10,10,True,3090.181449,309.01814490000004,24,
baseline,419001005,12,12,True,3881.372623,323.44771858333337,35,
baseline,419001006,10,10,True,2915.49635,291.54963499999997,26,
baseline,419001007,13,13,True,3413.903523,262.60796330769233,39,
baseline,419001008,15,15,True,3211.414006,214.09426706666667,31,
baseline,419001009,12,12,True,3963.90125,330.3251041666667,32,
baseline,419001010,13,13,True,2505.758104,192.75062338461538,24,
baseline,419001011,10,10,True,3407.866887,340.7866887,28,
baseline,419001012,13,13,True,3739.732391,287.6717223846154,33,
baseline,419001013,15,15,True,3802.604617,253.50697446666666,41,
baseline,419001014,16,16,True,1358.451426,84.903214125,22,
baseline,419001015,10,10,True,3983.635457,398.3635457,29,
baseline,419001016,11,11,True,3119.72011,283.61091909090914,25,
baseline,419001017,16,16,True,3772.29206,235.76825375,42,
baseline,419001018,15,15,True,2843.300753,189.55338353333335,28,
baseline,419001019,15,15,True,3591.164578,239.41097186666667,38,
baseline,419001020,15,15,True,3493.948365,232.92989100000003,33,
baseline,419001021,14,14,True,3872.336728,276.5954805714286,36,
baseline,419001022,15,15,True,2588.283097,172.55220646666666,25,
baseline,419001023,15,15,True,3519.968065,234.66453766666666,39,
baseline,419001024,15,15,True,3646.062192,243.0708128,31,
baseline,419001025,11,11,True,3499.102934,318.10026672727275,33,
baseline,419001026,10,10,True,2415.046981,241.50469809999998,18,
baseline,419001027,10,10,True,3752.157733,375.2157733,28,
baseline,419001028,14,14,True,3132.686059,223.76328992857142,28,
baseline,419001029,14,14,True,4245.073963,303.2195687857143,37,
baseline,419001030,12,12,True,2629.46693,219.12224416666666,23,
baseline,419001031,14,14,True,3521.574737,251.54105264285712,39,
baseline,419001032,14,14,True,3485.050878,248.93220557142857,27,
baseline,419001033,13,13,True,4115.201138,316.55393369230774,34,
baseline,419001034,15,15,True,2339.82748,155.98849866666666,23,
baseline,419001035,14,14,True,3494.139449,249.5813892142857,39,
baseline,419001036,14,14,True,3857.958268,275.5684477142857,34,
baseline,419001037,11,11,True,3266.788371,296.98076100000003,31,
baseline,419001038,16,16,True,1780.245186,111.265324125,23,
baseline,419001039,16,16,True,4337.100713,271.0687945625,42,
baseline,419001040,16,16,True,3148.731088,196.795693,29,
baseline,419001041,15,15,True,4242.418816,282.8279210666667,39,
baseline,419001042,14,14,True,2721.273307,194.37666478571427,30,
baseline,419001043,14,14,True,3478.576407,248.46974335714285,36,
baseline,419001044,12,12,True,3544.812763,295.4010635833333,25,
baseline,419001045,10,10,True,3312.55238,331.255238,29,
baseline,419001046,10,10,True,2402.594282,240.2594282,18,
baseline,419001047,15,15,True,3677.679813,245.1786542,40,
baseline,419001048,15,15,True,4107.929987,273.86199913333337,33,
baseline,419001049,11,11,True,3372.904079,306.62764354545453,34,
baseline,419001050,10,10,True,2662.501055,266.2501055,20,
baseline,419001051,10,10,True,3768.551088,376.85510880000004,30,
baseline,419001052,13,13,True,3343.209574,257.1699672307692,25,
baseline,419001053,11,11,True,3373.005874,306.63689763636364,31,
baseline,419001054,14,14,True,3059.973697,218.5695497857143,33,
baseline,419001055,13,13,True,3256.484625,250.49881730769232,38,
baseline,419001056,12,12,True,3668.122473,305.67687275,29,
baseline,419001057,10,10,True,4046.76298,404.676298,29,
baseline,419001058,11,11,True,2127.904949,193.44590445454548,19,
baseline,419001059,13,13,True,3582.567551,275.5821193076923,35,
baseline,419001060,16,16,True,3887.125235,242.9453271875,36,
baseline,419001061,14,14,True,3530.495865,252.17827607142857,40,
baseline,419001062,14,14,True,2592.774043,185.19814592857142,26,
baseline,419001063,15,15,True,4164.946751,277.66311673333337,40,
baseline,419001064,16,16,True,3282.325812,205.14536325,25,
baseline,419001065,10,10,True,3508.091941,350.8091941,30,
baseline,419001066,12,12,True,2920.275028,243.35625233333334,22,
baseline,419001067,14,14,True,3585.612516,256.1151797142857,40,
baseline,419001068,10,10,True,3071.952307,307.1952307,21,
baseline,419001069,12,12,True,3942.486667,328.54055558333334,32,
baseline,419001070,13,13,True,2536.144774,195.08805953846152,23,
baseline,419001071,14,14,True,3880.871743,277.2051245,37,
baseline,419001072,12,12,True,3427.430098,285.6191748333333,25,
baseline,419001073,12,12,True,3308.968099,275.74734158333337,40,
baseline,419001074,14,14,True,2594.428141,185.3162957857143,22,
baseline,419001075,12,12,True,3896.20799,324.68399916666664,33,
baseline,419001076,13,13,True,3639.427378,279.95595215384617,30,
baseline,419001077,14,14,True,3281.058416,234.36131542857143,35,
baseline,419001078,16,16,True,1409.519726,88.094982875,25,
baseline,419001079,11,11,True,3442.895842,312.9905310909091,35,
baseline,419001080,12,12,True,3034.902511,252.90854258333331,28,
baseline,419001081,12,12,True,3896.970452,324.7475376666667,33,
baseline,419001082,16,16,True,1226.376362,76.648522625,21,
baseline,419001083,14,14,True,4439.305141,317.09322435714284,36,
baseline,419001084,10,10,True,3680.908635,368.09086349999995,27,
baseline,419001085,13,13,True,3550.371173,273.10547484615387,39,
baseline,419001086,11,11,True,2712.834027,246.62127518181816,22,
baseline,419001087,15,15,True,4375.538809,291.7025872666666,39,
baseline,419001088,11,11,True,3329.301818,302.66380163636364,23,
baseline,419001089,15,15,True,3887.955607,259.19704046666664,40,
baseline,419001090,15,15,True,2495.302483,166.35349886666665,27,
baseline,419001091,13,13,True,3560.256402,273.8658770769231,40,
baseline,419001092,14,14,True,3582.285827,255.87755907142858,28,
baseline,419001093,12,12,True,3802.359802,316.86331683333333,32,
baseline,419001094,13,13,True,2653.089239,204.0837876153846,23,
baseline,419001095,15,15,True,3472.531296,231.5020864,44,
baseline,419001096,13,13,True,4054.772708,311.90559292307694,27,
baseline,419001097,14,14,True,3547.243798,253.374557,40,
baseline,419001098,14,14,True,2329.593376,166.39952685714283,29,
baseline,419001099,16,16,True,4129.9151,258.11969375,41,
baseline,419001100,10,10,True,2836.951157,283.6951157,25,
baseline,419001101,13,13,True,3667.55113,282.1193176923077,37,
baseline,419001102,11,11,True,2760.714473,250.974043,25,
baseline,419001103,15,15,True,3646.382886,243.0921924,41,
baseline,419001104,14,14,True,3463.660992,247.40435657142856,29,
baseline,419001105,11,11,True,3505.995069,318.72682445454546,31,
baseline,419001106,14,14,True,2338.971076,167.06936257142857,23,
baseline,419001107,13,13,True,3510.214838,270.016526,36,
baseline,419001108,13,13,True,3599.563473,276.88949792307693,32,
baseline,419001109,14,14,True,3673.431575,262.3879696428572,41,
baseline,419001110,13,13,True,2458.552584,189.11942953846153,28,
baseline,419001111,15,15,True,3919.774931,261.3183287333333,39,
baseline,419001112,15,15,True,3534.101075,235.60673833333334,28,
baseline,419001113,11,11,True,3450.370177,313.6700160909091,31,
baseline,419001114,14,14,True,2370.954038,169.35385985714285,27,
baseline,419001115,15,15,True,3744.234565,249.6156376666667,41,
baseline,419001116,12,12,True,3015.208522,251.26737683333332,25,
baseline,419001117,13,13,True,3804.028431,292.61757161538463,34,
baseline,419001118,13,13,True,2477.057844,190.54291107692308,22,
baseline,419001119,12,12,True,3536.56807,294.7140058333333,34,
baseline,419001120,12,12,True,4017.275697,334.77297475,29,
baseline,419001121,14,14,True,3757.719609,268.4085435,39,
baseline,419001122,11,11,True,2338.211864,212.5647149090909,19,
baseline,419001123,16,16,True,3854.748948,240.92180925,42,
baseline,419001124,11,11,True,3083.640945,280.33099500000003,21,
baseline,419001125,14,14,True,3691.491135,263.67793821428575,38,
baseline,419001126,11,11,True,2763.713099,251.24664536363636,24,
baseline,419001127,10,10,True,3362.668231,336.2668231,33,
baseline,419001128,12,12,True,3550.116399,295.84303325,28,
baseline,419001129,13,13,True,3665.130965,281.93315115384615,36,
baseline,419001130,11,11,True,2428.469816,220.76998327272725,19,
baseline,419001131,15,15,True,3986.601694,265.77344626666667,41,
baseline,419001132,10,10,True,3304.058988,330.40589880000005,23,
baseline,419001133,12,12,True,3436.673306,286.3894421666667,33,
baseline,419001134,14,14,True,2793.70468,199.55033428571429,25,
baseline,419001135,13,13,True,3771.198829,290.0922176153846,36,
baseline,419001136,13,13,True,2966.088578,228.16065984615383,28,
baseline,419001137,11,11,True,3417.205195,310.6550177272727,31,
baseline,419001138,14,14,True,2764.015465,197.42967607142856,27,
baseline,419001139,14,14,True,3547.018778,253.35848414285715,38,
baseline,419001140,16,16,True,3879.37133,242.460708125,32,
baseline,419001141,10,10,True,3389.541863,338.9541863,29,
baseline,419001142,15,15,True,2618.496462,174.5664308,26,
baseline,419001143,15,15,True,4039.830063,269.3220042,39,
baseline,419001144,12,12,True,3768.211858,314.0176548333333,32,
baseline,419001145,13,13,True,3729.159242,286.8584032307692,39,
baseline,419001146,12,12,True,2734.360449,227.86337074999997,20,
baseline,419001147,16,16,True,4370.847646,273.177977875,43,
baseline,419001148,10,10,True,3337.315236,333.7315236,24,
baseline,419001149,13,13,True,3930.544366,302.3495666153846,35,
baseline,419001150,12,12,True,2554.003553,212.83362941666667,23,
baseline,419001151,11,11,True,3507.755961,318.8869055454545,35,
baseline,419001152,11,11,True,3416.138735,310.5580668181818,23,
baseline,419001153,12,12,True,3701.604104,308.4670086666667,33,
baseline,419001154,10,10,True,2446.174271,244.6174271,18,
baseline,419001155,14,14,True,3724.012573,266.0008980714286,37,
baseline,419001156,16,16,True,3868.06918,241.75432375,35,
baseline,419001157,12,12,True,3317.436704,276.45305866666666,35,
baseline,419001158,14,14,True,2305.7357,164.69540714285716,23,
baseline,419001159,15,15,True,4090.696152,272.7130768,38,
baseline,419001160,10,10,True,3094.103499,309.41034989999997,26,
baseline,419001161,13,13,True,3625.928324,278.9175633846154,35,
baseline,419001162,13,13,True,3126.302236,240.48478738461537,26,
baseline,419001163,12,12,True,3535.106347,294.5921955833333,36,
baseline,419001164,14,14,True,3610.076107,257.86257907142857,30,
baseline,419001165,14,14,True,3950.660043,282.1900030714286,37,
baseline,419001166,10,10,True,2367.541498,236.7541498,19,
baseline,419001167,13,13,True,3847.24442,295.94187846153847,36,
baseline,419001168,14,14,True,4472.457093,319.46122092857144,33,
baseline,419001169,12,12,True,3252.786887,271.06557391666666,37,
baseline,419001170,16,16,True,1524.548364,95.28427275,23,
baseline,419001171,11,11,True,3493.723419,317.6112199090909,32,
baseline,419001172,12,12,True,2932.419224,244.3682686666667,27,
baseline,419001173,14,14,True,3805.425179,271.8160842142857,38,
baseline,419001174,14,14,True,2953.851048,210.98936057142856,28,
baseline,419001175,10,10,True,3085.877187,308.5877187,33,
baseline,419001176,10,10,True,3052.378152,305.2378152,22,
baseline,419001177,11,11,True,3871.01044,351.91004,33,
baseline,419001178,11,11,True,2502.808934,227.52808490909092,19,
baseline,419001179,14,14,True,3599.639089,257.1170777857143,37,
baseline,419001180,13,13,True,3735.357443,287.3351879230769,28,
baseline,419001181,10,10,True,3204.499947,320.4499947,28,
baseline,419001182,14,14,True,2534.039344,181.00281028571428,29,
baseline,419001183,15,15,True,3932.87301,262.191534,38,
baseline,419001184,15,15,True,3090.041873,206.00279153333335,27,
baseline,419001185,15,15,True,3856.579968,257.1053312,39,
baseline,419001186,10,10,True,2456.035217,245.60352170000002,19,
baseline,419001187,16,16,True,3426.786436,214.17415225,45,
baseline,419001188,15,15,True,3448.139895,229.875993,30,
baseline,419001189,14,14,True,3904.791558,278.9136827142857,35,
baseline,419001190,10,10,True,2428.989521,242.8989521,18,
baseline,419001191,15,15,True,3835.927922,255.72852813333333,41,
baseline,419001192,16,16,True,3944.338762,246.521172625,35,
baseline,419001193,10,10,True,3233.789918,323.3789918,32,
baseline,419001194,16,16,True,2836.574294,177.285893375,24,
baseline,419001195,11,11,True,3279.607158,298.14610527272725,30,
baseline,419001196,12,12,True,3226.866647,268.90555391666663,29,
baseline,419001197,10,10,True,3986.384595,398.6384595,30,
baseline,419001198,10,10,True,3123.444098,312.3444098,23,
baseline,419001199,14,14,True,3504.520455,250.32288964285712,38,
baseline,419001200,13,13,True,3585.09055,275.7761961538462,26,
baseline,419001201,10,10,True,3781.139268,378.1139268,29,
baseline,419001202,16,16,True,1195.724315,74.7327696875,22,
baseline,419001203,15,15,True,3531.703662,235.44691079999998,38,
baseline,419001204,14,14,True,3381.737955,241.55271107142858,30,
